index,Unnamed: 0,Ingredient,Text,Recipe_Index,Rating,Quantity,Unit
180,181,all purpose flour,2.66666666667 cups king arthur unbleached all purpose flour,Misc_85,,2.666666667,cup
181,182,all purpose flour,6.0 cup all purpose flour,Misc_86,,6.0,cup
182,183,all purpose flour,8.0 cups all purpose flour,Misc_87,,8.0,cup
183,184,all purpose flour,5.14285714286 cups all purpose flour,Misc_89,,5.142857143,cup
184,185,all purpose flour,2.25 cups gold medalâ¢ all purpose flour,Misc_9,,2.25,cup
185,186,all purpose flour,12.0 â4 cups flour,Misc_90,,12.0,cup
186,187,all purpose flour,"2.0  1/4 cups all purpose flour, spooned and leveled",Misc_91,,2.0,cup
187,188,all purpose flour,4.66666666667 cups all purpose flour,Misc_92,,4.666666667,cup
188,189,all purpose flour,4.0 cups flour,Misc_93,,4.0,cup
189,190,all purpose flour,4.2 cup 220 g all purpose flour,Misc_96,,4.2,cup
